_idx,_name,area_ellipse,area_exact,flux,peak,npix,major_sigma,minor_sigma,major_fwhm,minor_fwhm,position_angle,radius,x_cen,y_cen,rejected,100.0GHz_snr,score,notes,G2018,notesG2018,S2016_HII,HII?
1057,1057,1.31E-09,3.24E-09,0.001912585,0.000700606,105,2.19E-05,1.38E-05,5.16E-05,3.24E-05,63.4895868,1.74E-05,266.8325084,-28.39884116,0,5.535402633,2,,core_77,,,
1494,1494,4.84E-10,1.70E-09,0.000950725,0.00075174,55,1.66E-05,6.71E-06,3.90E-05,1.58E-05,145.890167,1.05E-05,266.8330348,-28.39849659,0,6.533673594,2,,,,,
1612,1612,1.29E-09,4.23E-09,0.002245607,0.000782252,137,2.23E-05,1.32E-05,5.26E-05,3.11E-05,102.1620036,1.72E-05,266.8327966,-28.39839002,0,5.843718634,2,,core_78,,,
2069,2069,1.83E-10,6.48E-10,0.000268769,0.000403482,21,8.10E-06,5.20E-06,1.91E-05,1.22E-05,154.797297,6.49E-06,266.8314493,-28.3981341,0,5.214023237,2,,core_127,,,
2317,2317,2.38E-09,1.01E-08,0.008165839,0.001985404,328,3.03E-05,1.81E-05,7.14E-05,4.25E-05,152.188553,2.34E-05,266.8287669,-28.39790924,0,15.37348757,2,,core_72,,,
2669,2669,3.89E-10,1.30E-09,0.000586172,0.000473623,42,1.26E-05,7.05E-06,2.98E-05,1.66E-05,126.15422,9.45E-06,266.8321344,-28.39765494,0,6.056987356,2,,core_126,,,
2674,2674,4.53E-10,1.30E-09,0.000478742,0.000366617,42,1.52E-05,6.85E-06,3.58E-05,1.61E-05,-146.9700688,1.02E-05,266.8322685,-28.39764702,0,4.023729306,0,,core_74,Same flux?,,
3042,3042,2.88E-09,9.48E-09,0.006254888,0.001929102,307,3.42E-05,1.93E-05,8.05E-05,4.55E-05,125.3976538,2.57E-05,266.8315622,-28.39720431,0,30.4134104,2,,,,,
3202,3202,5.68E-10,1.48E-09,0.000545475,0.000462412,48,1.94E-05,6.70E-06,4.58E-05,1.58E-05,157.2514557,1.14E-05,266.8350617,-28.39707968,0,3.790322935,2,,,,,
3283,3283,3.79E-10,1.23E-09,0.002613676,0.001921754,40,1.32E-05,6.59E-06,3.11E-05,1.55E-05,118.1539273,9.33E-06,266.8332692,-28.39691927,0,9.939744212,2,,core_76,,,
3312,3312,3.17E-10,9.57E-10,0.000915447,0.000695517,31,1.15E-05,6.33E-06,2.71E-05,1.49E-05,60.86790883,8.53E-06,266.8330634,-28.39687421,0,5.67382809,2,,core_249,,,
3321,3321,3.00E-10,9.57E-10,0.001847336,0.001666579,31,8.66E-06,7.96E-06,2.04E-05,1.87E-05,-157.0275414,8.30E-06,266.8332552,-28.39687176,0,7.30440448,2,,core_76,,,
3348,3348,2.22E-10,5.86E-10,0.000541383,0.000632221,19,7.58E-06,6.71E-06,1.79E-05,1.58E-05,125.3816605,7.13E-06,266.8330462,-28.39683199,0,6.144368558,0,Fillament?,core_249,,,
3349,3349,1.20E-09,3.12E-09,0.002032754,0.000675951,101,2.27E-05,1.21E-05,5.35E-05,2.86E-05,-140.5737344,1.66E-05,266.8329419,-28.39682048,0,6.345418692,2,Coordinates,core_249,,,
3369,3369,1.28E-09,4.14E-09,0.002194206,0.00076615,134,1.77E-05,1.66E-05,4.16E-05,3.91E-05,-175.0650308,1.71E-05,266.8347456,-28.3967738,0,8.504079226,2,,,,,
3648,3648,4.98E-10,1.82E-09,0.001003945,0.000642339,59,1.21E-05,9.44E-06,2.86E-05,2.22E-05,134.6904787,1.07E-05,266.8314911,-28.39646005,0,12.42099855,2,,core_75,Fragmented,,
3692,3692,7.50E-10,2.87E-09,0.001721829,0.0009261,93,1.46E-05,1.18E-05,3.44E-05,2.77E-05,171.1519912,1.31E-05,266.8315753,-28.39640777,0,10.94823689,2,,core_75,Fragmented,,
3764,3764,2.44E-09,7.59E-09,0.003000307,0.000666837,246,3.21E-05,1.74E-05,7.56E-05,4.11E-05,73.52411031,2.37E-05,266.8335041,-28.39628041,0,7.377874222,3,min delta,,,,
3817,3817,5.81E-10,2.50E-09,0.002420282,0.001563369,81,1.29E-05,1.03E-05,3.05E-05,2.43E-05,91.59127002,1.15E-05,266.8353241,-28.39623565,0,16.82920681,2,close to HII,,,,2
3873,3873,3.45E-10,1.17E-09,0.001590205,0.001289964,38,1.09E-05,7.30E-06,2.56E-05,1.72E-05,111.32645,8.90E-06,266.8352814,-28.39613814,0,6.775753646,2,close to HII,,,,2
3888,3888,1.07E-09,4.29E-09,0.005856816,0.002171162,139,1.73E-05,1.42E-05,4.08E-05,3.35E-05,67.11050997,1.57E-05,266.8353722,-28.39608732,0,8.776996498,2,close to HII,,,,2
3897,3897,2.08E-10,7.41E-10,0.001198237,0.001646794,24,8.05E-06,5.92E-06,1.90E-05,1.39E-05,121.5749396,6.90E-06,266.8352777,-28.3960953,0,5.131315934,2,close to HII,,,,2
3997,3997,9.70E-10,2.90E-09,0.002365464,0.000642096,94,2.01E-05,1.11E-05,4.73E-05,2.61E-05,52.92097189,1.49E-05,266.834843,-28.39589551,0,1.257452733,0,,,,,
4030,4030,2.68E-10,8.33E-10,0.000621678,0.000571227,27,8.94E-06,6.90E-06,2.10E-05,1.62E-05,62.2532119,7.85E-06,266.8347861,-28.39583779,0,2.007186954,0,*close to HII,,,,
4049,4049,4.32E-10,1.17E-09,0.000813663,0.000506258,38,1.39E-05,7.11E-06,3.28E-05,1.67E-05,54.72705862,9.96E-06,266.8347615,-28.39578427,0,3.374410267,0,*close to HII,,,,
4058,4058,5.47E-10,1.88E-09,0.002143224,0.001199126,61,1.42E-05,8.86E-06,3.34E-05,2.09E-05,-160.8195416,1.12E-05,266.8354263,-28.39576785,0,4.410482338,2,*close to HII. Not sure,,,,2
4117,4117,2.27E-09,6.48E-09,0.002923155,0.000663166,210,3.68E-05,1.42E-05,8.66E-05,3.33E-05,106.5600311,2.28E-05,266.8348967,-28.39559263,0,3.618011618,0,,,,,
4150,4150,1.13E-09,2.81E-09,0.001064377,0.000367818,91,2.21E-05,1.17E-05,5.20E-05,2.76E-05,130.7527608,1.61E-05,266.8350792,-28.39558342,0,1.684225896,0,,,,,
4157,4157,4.76E-09,1.44E-08,0.006491603,0.000695539,465,4.96E-05,2.21E-05,0.000116744,5.20E-05,156.9635182,3.31E-05,266.8352515,-28.39549988,0,5.394946851,3,min delta,,,,
4166,4166,7.49E-10,1.54E-09,0.000496361,0.000293539,50,2.41E-05,7.13E-06,5.68E-05,1.68E-05,162.6461634,1.31E-05,266.8350371,-28.39554153,0,1.713011336,0,,,,,
4182,4182,3.49E-10,1.23E-09,0.000542847,0.000518829,40,1.01E-05,7.95E-06,2.37E-05,1.87E-05,101.270387,8.95E-06,266.8326052,-28.39550847,0,7.249934463,2,,,,,
4201,4201,1.67E-09,7.22E-09,0.004390347,0.001625951,234,2.26E-05,1.70E-05,5.33E-05,4.00E-05,101.7887129,1.96E-05,266.8323813,-28.3954326,0,21.65299135,2,,core_82,,,
4230,4230,1.21E-09,4.32E-09,0.001968669,0.000777405,140,1.99E-05,1.40E-05,4.69E-05,3.29E-05,111.8045553,1.67E-05,266.8340372,-28.39538837,0,8.84579537,2,,core_81,,,
4342,4342,8.04E-10,1.45E-09,0.000506312,0.000392264,47,1.72E-05,1.08E-05,4.04E-05,2.53E-05,53.46549115,1.36E-05,266.824631,-28.39509329,0,6.082230764,2,,,,,
4584,4584,8.50E-10,2.56E-09,0.001029737,0.000483447,83,2.08E-05,9.38E-06,4.90E-05,2.21E-05,131.0188632,1.40E-05,266.825697,-28.39439005,0,5.124439079,2,,core_123,,,
4658,4658,6.71E-10,2.10E-09,0.000830441,0.000394481,68,1.84E-05,8.35E-06,4.34E-05,1.97E-05,160.1519833,1.24E-05,266.8260403,-28.39415868,0,5.298560212,3,Two sources?,core_124,,,
4712,4712,1.36E-09,4.04E-09,0.001507826,0.000432159,131,2.56E-05,1.22E-05,6.03E-05,2.87E-05,134.7100666,1.77E-05,266.8266509,-28.39391787,0,9.533166958,3,min delta,,,,
5220,5220,3.57E-10,1.33E-09,0.000661263,0.000597459,43,1.04E-05,7.91E-06,2.44E-05,1.86E-05,145.8473507,9.05E-06,266.8337266,-28.3926775,0,15.63084864,2,,core_268,,,
5433,5433,2.67E-09,8.80E-09,0.004567797,0.000746541,285,4.09E-05,1.50E-05,9.63E-05,3.53E-05,164.428109,2.48E-05,266.8277769,-28.39226514,0,17.40391477,3,Two sources,core_83,,,
5628,5628,3.51E-10,1.42E-09,0.000879301,0.000835609,46,1.04E-05,7.74E-06,2.45E-05,1.82E-05,135.1953589,8.97E-06,266.8334114,-28.39188978,0,31.2141724,2,,core_139,Same flux?,,
5664,5664,3.24E-10,1.30E-09,0.00097844,0.000952236,42,1.04E-05,7.17E-06,2.44E-05,1.69E-05,137.1559309,8.62E-06,266.8332797,-28.39182425,0,29.02449757,2,,core_270,Same flux?,,
5728,5728,2.42E-10,8.33E-10,0.000339326,0.000390753,27,8.01E-06,6.95E-06,1.89E-05,1.64E-05,105.2046421,7.46E-06,266.8329418,-28.39167797,0,10.05814299,2,,,,,
5835,5835,5.36E-10,1.79E-09,0.000784597,0.000521025,58,1.34E-05,9.18E-06,3.16E-05,2.16E-05,-157.6315493,1.11E-05,266.8327085,-28.39142499,0,16.76818986,2,,core_271,,,
6011,6011,1.90E-10,6.48E-10,0.000244232,0.000351085,21,7.74E-06,5.63E-06,1.82E-05,1.32E-05,142.1668104,6.60E-06,266.8332663,-28.39092451,0,12.04461961,2,,,,,
6151,6151,3.53E-10,1.23E-09,0.000540117,0.000488415,40,9.17E-06,8.84E-06,2.16E-05,2.08E-05,177.8273871,9.00E-06,266.8226157,-28.39036292,0,6.448879551,2,,,,,
