_idx,_name,area_ellipse,area_exact,flux,peak,npix,major_sigma,minor_sigma,major_fwhm,minor_fwhm,position_angle,radius,x_cen,y_cen,rejected,100.0GHz_snr,score,notes,B3_match
438,438,4.61E-10,1.69E-09,0.011345013,0.004257833,219,1.28E-05,8.30E-06,3.00E-05,1.95E-05,146.1447164,1.03E-05,266.8312751,-28.38796922,0,10.90171846,2,,6834
439,439,2.98E-10,1.03E-09,0.006005317,0.002624402,133,1.07E-05,6.39E-06,2.52E-05,1.51E-05,172.4631905,8.27E-06,266.8313613,-28.38794811,0,7.142848348,2,,6845
536,536,3.48E-10,1.02E-09,0.004595001,0.001689489,132,1.52E-05,5.26E-06,3.58E-05,1.24E-05,57.53435964,8.94E-06,266.8311175,-28.38700544,0,3.515654661,2,,7255
554,554,1.48E-09,4.07E-09,0.02058092,0.002064526,527,4.69E-05,7.24E-06,0.000110449,1.71E-05,157.8873084,1.84E-05,266.8319053,-28.386509,0,5.967801731,0,Fillament,
556,556,5.76E-10,1.98E-09,0.012872111,0.003443284,256,1.51E-05,8.75E-06,3.56E-05,2.06E-05,124.4433384,1.15E-05,266.8333994,-28.38640923,0,10.49526827,2,,7543
559,559,1.70E-09,4.18E-09,0.023899852,0.004087764,542,2.29E-05,1.71E-05,5.39E-05,4.03E-05,-164.4645395,1.98E-05,266.8319248,-28.38631088,0,7.605357831,3,Multiple sources,7573
560,560,1.30E-09,4.43E-09,0.025633628,0.003236914,574,3.38E-05,8.83E-06,7.97E-05,2.08E-05,-162.9396024,1.73E-05,266.8327057,-28.38621724,0,10.69548505,0,Not sure,
563,563,4.37E-10,1.56E-09,0.013810839,0.004567051,202,1.28E-05,7.86E-06,3.01E-05,1.85E-05,162.157632,1.00E-05,266.8319008,-28.38614033,0,9.762205935,2,,7622
564,564,2.41E-10,8.02E-10,0.006207042,0.003503203,104,1.25E-05,4.43E-06,2.94E-05,1.04E-05,177.2830291,7.44E-06,266.8319762,-28.38612961,0,9.196010195,2,,7627
565,565,9.99E-10,3.67E-09,0.027115426,0.003844615,475,2.13E-05,1.07E-05,5.03E-05,2.53E-05,106.0747038,1.51E-05,266.8330368,-28.38607225,0,8.811279162,2,,7637
576,576,1.76E-09,5.05E-09,0.027439456,0.002376314,655,3.73E-05,1.09E-05,8.78E-05,2.56E-05,148.0777336,2.01E-05,266.8333033,-28.38600391,0,8.064816229,0,Fillament,
579,579,5.03E-10,1.55E-09,0.010602683,0.002409933,201,1.30E-05,8.90E-06,3.06E-05,2.10E-05,117.5203436,1.07E-05,266.8320778,-28.38600188,0,7.439055618,0,Reexamine,
