Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catMB6_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [4/301]? Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.5/634.8]? Dendrogram contour flux
  11-15  F5.1   mJy.beam-1 $S_{\nu,peak}$ [1.3/146.0]? Brightest pixel flux
  17-21  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.25/1.02]? Noise
  23-27  F5.3       arcsec FWHM$_{maj}$   [0.02/0.35]? Source FWHM (maj)
  29-33  F5.3       arcsec FWHM$_{min}$   [0.01/0.16]? Source FWHM (min)
  35-66  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  68-99  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    101  I1         ---    Score          2=core, 1=likely core
103-110  A8         ---    Source         Source type
112-114  I3         ---    ID$_{Band 3}$  [1/256]? Source ID match from Band 3
116-119  I4         K      $T_B$          [9/1097]? Brightness temperature
121-126  F6.3       ---    $\alpha$       [-1.0/3.7]? Spectral index
128-132  F5.3       ---    $\alpha_{err}$ [0.0/0.4]? Spectral index error
134-137  F4.1      solMass Mass           ? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
  4  76.8  23.0 0.251 0.101 0.063 17:47:20.1528                    -28:23:05.1                      1 HII_cand   7  173  0.420 0.010     
 10  12.2   2.5 0.251 0.144 0.090 17:47:20.2128                    -28:23:04.74                     0 HII_cand  12   18 -0.800 0.100     
 17 153.3 118.8 0.251 0.081 0.041 17:47:20.1576                    -28:23:04.596                    1 HII_cand  16  893  0.874 0.004     
 29 260.1  81.5 0.251 0.124 0.111 17:47:20.1792                    -28:23:06                        0 HII        2  612  0.409 0.005     
 46   8.3   4.9 0.251 0.085 0.049 17:47:20.0736                    -28:23:05.388                    0 HII        6   37 -0.050 0.090     
 48  10.3   3.8 0.251 0.150 0.051 17:47:20.0952                    -28:23:05.1                      1 core           28  3.300 0.200  6.0
 54  94.7  61.6 0.251 0.094 0.045 17:47:20.1048                    -28:23:04.38                     1 HII_cand  18  463  0.325 0.008     
 62 634.8 146.0 0.251 0.139 0.087 17:47:20.1384                    -28:23:04.092                    1 HII_cand  21 1097  0.471 0.002     
 63 131.7  34.9 0.251 0.104 0.084 17:47:20.1168                    -28:23:04.092                    1 HII_cand  22  262 -0.037 0.009     
 69  48.3  13.0 0.251 0.119 0.069 17:47:20.16                      -28:23:03.804                    0 HII_cand  27   97  0.010 0.030     
 76  39.8  17.7 0.251 0.120 0.042 17:47:20.1624                    -28:23:03.66                     0 HII_cand  28  132  0.030 0.020     
 84   8.1   8.6 0.251 0.046 0.035 17:47:20.2128                    -28:23:06.864                    1 core           64  3.180 0.070  4.4
 85   6.7   8.4 0.251 0.047 0.029 17:47:20.2104                    -28:23:06.756                    1 core      36   62  3.450 0.090  3.6
 86 115.3  59.8 0.251 0.113 0.063 17:47:20.1936                    -28:23:06.684                    1 HII       40  449  0.347 0.008     
 90 113.0  19.3 0.251 0.125 0.105 17:47:20.1144                    -28:23:06.396                    0 HII_cand   1  145  2.160 0.020     
 97  10.0   2.8 0.251 0.150 0.055 17:47:20.0616                    -28:23:06.216                    1 core      50   21  2.300 0.200  6.2
101   1.3   3.6 0.251 0.028 0.022 17:47:20.0424                    -28:23:06.108                    1 core      52   27  1.900 0.100  0.8
102   3.1   4.4 0.251 0.045 0.028 17:47:20.0424                    -28:23:06.072                    2 core      52   32  2.000 0.100  1.8
108  26.9   6.3 0.251 0.193 0.069 17:47:20.2656                    -28:23:03.732                    1 core           47  3.400 0.100 14.9
112   7.3   4.4 0.251 0.070 0.052 17:47:20.2416                    -28:23:03.372                    0 HII       29   33 -0.670 0.090     
118 135.4  17.0 0.251 0.177 0.106 17:47:20.1096                    -28:23:03.048                    0 HII       78  127  2.840 0.030     
137  28.8   7.9 0.251 0.099 0.078 17:47:20.2392                    -28:23:07.152                    1 core      32   59  3.020 0.070 15.7
138   7.9   3.3 0.251 0.097 0.054 17:47:20.0544                    -28:23:07.08                     1 core           24  3.700 0.300  4.7
142  18.2   2.9 0.251 0.183 0.084 17:47:20.0304                    -28:23:06.72                     1 core      43   21  2.300 0.100 11.1
144   7.1   2.1 0.251 0.134 0.056 17:47:20.016                     -28:23:05.964                    1 core      54   16  2.300 0.200  4.8
145  12.9   2.5 0.251 0.199 0.072 17:47:19.9896                    -28:23:05.82                     1 core      57   18  1.700 0.200  8.1
147 201.4  46.6 0.251 0.160 0.094 17:47:20.2896                    -28:23:03.12                     0 HII       72  350 -0.026 0.007     
182  18.5   2.8 0.251 0.223 0.084 17:47:19.956                     -28:23:05.568                    1 core           21  1.800 0.200 11.4
183   4.8   1.8 0.251 0.143 0.043 17:47:19.9464                    -28:23:05.352                    1 core           13  1.700 0.200  3.5
184  14.7   4.8 0.251 0.103 0.088 17:47:19.896                     -28:23:05.208                    2 core     110   36  2.600 0.100  8.3
185   5.5   2.2 0.251 0.102 0.052 17:47:19.9104                    -28:23:04.92                     2 core      67   16  2.200 0.200  3.6
186  30.4  14.4 0.251 0.090 0.067 17:47:19.9224                    -28:23:03.228                    2 HII_new  119  108 -0.250 0.030     
199   3.7   1.5 0.251 0.086 0.051 17:47:20.3256                    -28:23:08.196                    0 HII      105   11 -1.000 0.300     
200  20.3   6.3 0.251 0.159 0.084 17:47:19.8912                    -28:23:06.684                    2 core     107   47  2.630 0.090 11.2
202   0.8   1.3 0.251 0.056 0.020 17:47:20.4672                    -28:23:05.028                    1 core            9 -0.400 0.300  0.9
