Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catNB3_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1-  3  I3         ---    ID             [1/397]? Source ID
  5-  9  F5.2       mJy    $S_{\nu,flux}$ [0.04/58.03]? Dendrogram contour flux
 11- 15  F5.2   mJy.beam-1 $S_{\nu,peak}$ [0.16/41.29]? Brightest pixel flux
 17- 21  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.03/0.07]? Noise
 23- 27  F5.3       arcsec FWHM$_{maj}$   [0.03/0.29]? Source FWHM (maj)
 29- 33  F5.3       arcsec FWHM$_{min}$   [0.01/0.25]? Source FWHM (min)
 35- 66  A32        ---    RA (ICRS)      RA coordinate (ICRS)
 68- 99  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    101  I1         ---    Score          2=core, 1=likely core
103-110  A8         ---    Source         Type of source
112-120  A9         ---    G18            Source ID match from G18 catalog
122-123  I2         ---    ID$_{Band 6}$  Source ID match from Band 6
125-127  I3         K      $T_B$          [3/834]? Brightness temperature
129-133  F5.2       ---    $\alpha$       [-1.05/4.5]? Spectral index
135-138  F4.2       ---    $\alpha_{err}$ [0.02/0.4]? Spectral index error
140-144  F5.1      solMass Mass           [1.1/163.0]? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
  1  0.71  0.43 0.032 0.115 0.071 17:47:19.884                     -28:22:20.316                    2 core                     8  2.40 0.20  11.9
  2  1.97  1.48 0.032 0.092 0.082 17:47:19.9464                    -28:22:19.992                    2 core               11   29  2.12 0.09  30.1
  3  1.23  1.14 0.032 0.076 0.061 17:47:19.9368                    -28:22:19.812                    2 core               15   22  2.46 0.09  18.9
  4  7.20  3.39 0.032 0.176 0.059 17:47:19.908                     -28:22:19.452                    1 core               31   68  2.02 0.04 108.0
  5  2.99  4.62 0.032 0.054 0.042 17:47:19.8816                    -28:22:19.452                    1 HII_new                 93  0.50 0.10      
  6  1.20  1.11 0.032 0.098 0.054 17:47:19.9272                    -28:22:19.272                    2 core                1   22  2.40 0.10  18.5
  8  0.67  0.47 0.032 0.105 0.072 17:47:19.9632                    -28:22:18.84                     2 core                     9  2.20 0.30  11.1
  9  0.97  0.71 0.032 0.093 0.064 17:47:19.9032                    -28:22:18.804                    1 core                    14  2.20 0.20  15.4
 11  2.45  1.66 0.032 0.115 0.078 17:47:19.9512                    -28:22:18.624                    2 core                4   33  1.30 0.20  37.2
 12  0.37  0.38 0.032 0.078 0.060 17:47:20.04                      -28:22:18.624                    2 core               119   7  2.80 0.20   6.3
 14 54.46 41.29 0.032 0.084 0.075 17:47:19.8768                    -28:22:18.552                    1 HII_cand 172_K2     7  834 -1.05 0.05      
 15 35.63 19.56 0.032 0.094 0.072 17:47:19.8672                    -28:22:18.408                    1 HII_cand 172_K2        395  0.22 0.04      
 16  7.62  2.23 0.032 0.163 0.132 17:47:19.8072                    -28:22:18.264                    1 core                    45  2.37 0.05 114.9
 17  6.06 15.44 0.032 0.046 0.028 17:47:19.8792                    -28:22:18.336                    1 HII_cand 172_K2     8  311  0.31 0.04      
 18  2.33  1.94 0.032 0.091 0.052 17:47:19.836                     -28:22:18.3                      2 core               55   39  1.78 0.09  35.3
 20  1.59  1.42 0.032 0.095 0.051 17:47:19.9416                    -28:22:18.012                    1 core                    28  1.50 0.20  24.3
