# %ECSV 1.0
# ---
# datatype:
# - {name: _idx, datatype: int64}
# - {name: c_ID, datatype: int64}
# - {name: _name, datatype: int64}
# - {name: area_ellipse, unit: deg2, datatype: float64}
# - {name: area_exact, unit: deg2, datatype: float64}
# - {name: flux, unit: Jy, datatype: float64}
# - {name: peak, unit: Jy / beam, datatype: float64}
# - {name: ring_std, unit: Jy / beam, datatype: float64}
# - {name: x_peak_px, datatype: int64}
# - {name: y_peak_px, datatype: int64}
# - {name: x_peak, datatype: float64}
# - {name: y_peak, datatype: float64}
# - {name: npix, datatype: int64}
# - {name: major_fwhm, unit: deg, datatype: float64}
# - {name: minor_fwhm, unit: deg, datatype: float64}
# - {name: major_sigma, unit: deg, datatype: float64}
# - {name: minor_sigma, unit: deg, datatype: float64}
# - {name: position_angle, unit: deg, datatype: float64}
# - {name: radius, datatype: float64}
# - {name: x_cen, datatype: float64}
# - {name: y_cen, datatype: float64}
# - {name: x_cen_px, datatype: float64}
# - {name: y_cen_px, datatype: float64}
# - {name: radial_d_px, datatype: float64}
# - {name: radial_d_AU, unit: AU, datatype: float64}
# - {name: rejected, datatype: float64}
# - {name: core_score, datatype: int64}
# - {name: detection_score, datatype: int64}
# - {name: B3_match, datatype: int64}
# - {name: notes, datatype: string}
# - {name: Schmiedeke16, datatype: string}
# schema: astropy-2.0
_idx c_ID _name area_ellipse area_exact flux peak ring_std x_peak_px y_peak_px x_peak y_peak npix major_fwhm minor_fwhm major_sigma minor_sigma position_angle radius x_cen y_cen x_cen_px y_cen_px radial_d_px radial_d_AU rejected core_score detection_score B3_match notes Schmiedeke16
67 0 1 2.8876546597679607e-10 1.0802469135804196e-09 0.013360111154504454 0.007188977207988501 0.000352727627963259 2247 2183 266.8330317300807 -28.372021639220787 140 3.0484888960406265e-05 1.2060856459639974e-05 1.2945740386716304e-05 5.121774160658403e-06 177.81332643605722 8.142797959133917e-06 266.8330397844399 -28.372021644527546 2244.4487248587766 2182.9980892771673 67.23148589912324 5714.67630133669 0.0 2 2 6 "" ""
71 0 2 1.7854708433606928e-09 3.541666666667233e-09 0.028654102524943142 0.0042979964055120945 0.000352727627963259 2253 2219 266.83301278812826 -28.371921639220787 459 5.402441764510584e-05 4.2080431147301695e-05 2.2942057826926558e-05 1.7869913769461154e-05 -142.69537962465267 2.0247780003278605e-05 266.83302218478013 -28.371920332801405 2250.023541366363 2219.470311092593 30.529697983749895 2595.0243287680087 0.0 0 1 "" "" ""
74 0 3 3.171341973294077e-10 9.79938271605095e-10 0.008174259912206225 0.0038335174322128296 0.000352727627963259 2280 2232 266.8329275494146 -28.371885528077275 127 2.632091095150715e-05 1.5341212020289794e-05 1.1177461737277345e-05 6.514812905836363e-06 -166.3648055253557 8.533409165187532e-06 266.8329298088097 -28.371889711473866 2279.284318567472 2230.4939777843138 35.186023029606886 2990.811958146159 0.0 0 1 "" "" ""
76 0 4 8.970967938210736e-10 2.021604938271928e-09 0.01793128783598146 0.005236707627773285 0.000352727627963259 2216 2246 266.83312959670417 -28.371846639179083 262 8.537819522564664e-05 1.3378574664110729e-05 3.625678123719408e-05 5.681357559505102e-06 168.7106395308041 1.4352272926796485e-05 266.8331734344749 -28.37183585636395 2202.1140488606766 2249.8817985597507 47.88609702302065 4070.3182461639058 0.0 1 2 11 "bad contour" ""
79 0 5 7.199889009434608e-10 1.8132716049385617e-09 0.0678443979590571 0.012499992735683918 0.000352727627963259 2287 2257 266.83290545056445 -28.371816083615776 235 4.648556211233807e-05 1.9720831712726672e-05 1.974060065032575e-05 8.374666146715038e-06 168.94982416828802 1.2857719081629677e-05 266.832893345786 -28.371820974117153 2290.8342795771223 2255.2394155940838 41.169040119367786 3499.368410619786 0.0 0 0 "" "" ""
80 0 6 4.088265335074129e-10 1.1033950617285716e-09 0.03936701365498071 0.011254595592617989 0.000352727627963259 2254 2262 266.83300963115187 -28.371802194776087 143 4.6587882268213246e-05 1.1173355518555458e-05 1.9784052019822578e-05 4.744887212138797e-06 145.12675093131438 9.688812901132154e-06 266.8329935949337 -28.371813298947817 2259.0795948642844 2258.00249730155 12.102851150074455 1028.7423483671973 0.0 0 2 13 filament ""
81 0 7 4.945248916548442e-11 1.466049382716284e-10 0.005559001544263403 0.011947120539844036 0.000352727627963259 2317 2253 266.83281074091883 -28.37182719461343 19 1.2775913836038029e-05 4.928487900720053e-06 5.425431069774215e-06 2.0929361082686374e-06 179.29633428305252 3.369730046881055e-06 266.83281176120096 -28.371826598693644 2316.676818211266 2253.2145316829437 66.75426054357025 5674.112146944693 0.0 1 2 14 HII? ""
87 0 8 7.12335682519805e-10 2.4459876543213787e-09 0.07673247600923523 0.016521641984581947 0.000352727627963259 2304 2280 266.8328517818805 -28.37175219467063 317 3.733770449306507e-05 2.429151479890241e-05 1.5855863199336042e-05 1.0315656540363425e-05 95.65099826580435 1.2789200088955469e-05 266.83285254912846 -28.371747108476903 2303.7569707414686 2281.8310300778007 62.47420571014065 5310.307485546005 0.0 1 2 17 HII? ""
93 0 9 4.0248044613235965e-10 1.1651234567903098e-09 0.03448646230161887 0.009574302472174168 0.000352727627963259 2222 2284 266.83311065468604 -28.371741083637048 151 4.427670013759483e-05 1.1574095243860702e-05 1.8802583335837412e-05 4.915065704610385e-06 175.48030250873515 9.613320576785796e-06 266.83311931967773 -28.371740150519194 2219.2552951808166 2284.3359203205423 46.088960702942195 3917.5616588857015 0.0 0 2 19 filament ""
99 0 10 2.598182086612773e-10 8.024691358025974e-10 0.011449473302623367 0.005354813765734434 0.000352727627963259 2252 2308 266.8330159451335 -28.37167441699875 104 2.5770764621684218e-05 1.2836889187689964e-05 1.0943836101643815e-05 5.451324917493323e-06 140.26289219651088 7.723885449296482e-06 266.83301556175326 -28.37167119105931 2252.121438873176 2309.161338182983 59.19936180816393 5031.945754030108 0.0 0 2 24 filament ""
