# %ECSV 1.0
# ---
# datatype:
# - {name: _idx, datatype: int64}
# - {name: c_ID, datatype: int64}
# - {name: _name, datatype: int64}
# - {name: area_ellipse, unit: deg2, datatype: float64}
# - {name: area_exact, unit: deg2, datatype: float64}
# - {name: flux, unit: Jy, datatype: float64}
# - {name: peak, unit: Jy / beam, datatype: float64}
# - {name: ring_std, unit: Jy / beam, datatype: float64}
# - {name: x_peak_px, datatype: int64}
# - {name: y_peak_px, datatype: int64}
# - {name: x_peak, datatype: float64}
# - {name: y_peak, datatype: float64}
# - {name: npix, datatype: int64}
# - {name: major_fwhm, unit: deg, datatype: float64}
# - {name: minor_fwhm, unit: deg, datatype: float64}
# - {name: major_sigma, unit: deg, datatype: float64}
# - {name: minor_sigma, unit: deg, datatype: float64}
# - {name: position_angle, unit: deg, datatype: float64}
# - {name: radius, datatype: float64}
# - {name: x_cen, datatype: float64}
# - {name: y_cen, datatype: float64}
# - {name: x_cen_px, datatype: float64}
# - {name: y_cen_px, datatype: float64}
# - {name: radial_d_px, datatype: float64}
# - {name: radial_d_AU, unit: AU, datatype: float64}
# - {name: rejected, datatype: float64}
# - {name: 225.0GHz_snr, datatype: float64}
# - {name: core_score, datatype: int64}
# - {name: detection_score, datatype: int64}
# - {name: B3_match, datatype: int64}
# - {name: notes, datatype: string}
# - {name: Schmiedeke16, datatype: string}
# schema: astropy-2.0
_idx c_ID _name area_ellipse area_exact flux peak ring_std x_peak_px y_peak_px x_peak y_peak npix major_fwhm minor_fwhm major_sigma minor_sigma position_angle radius x_cen y_cen x_cen_px y_cen_px radial_d_px radial_d_AU rejected 225.0GHz_snr core_score detection_score B3_match notes Schmiedeke16
108 0 1 1.5748437426144864e-10 4.552469135803197e-10 0.010149140255582535 0.007072027772665024 0.0002510587313264703 2267 2189 266.83400608372636 -28.384832750323923 59 1.9298087028353986e-05 1.0390602262610643e-05 8.195143008518237e-06 4.412482509878618e-06 133.52490834070574 6.013395479347817e-06 266.83400389461923 -28.384833185954168 2267.693331323695 2188.8431727928164 63.66483713463311 5411.511155991224 0.0 5.240367356 0 0 "" "" ""
110 0 2 4.52931942947237e-10 8.950617283952048e-10 0.02232943094662053 0.009084414690732956 0.0002510587313264703 2254 2197 266.834047129603 -28.384810528111633 116 2.879727966267153e-05 2.0026220729642403e-05 1.222907870324887e-05 8.504352921532566e-06 -137.0032070853487 1.0198058697498569e-05 266.8340386295605 -28.384811868025878 2256.6921237455704 2196.517630497086 53.89942827036531 4581.451402915018 0.0 5.459027214 0 0 "" "" ""
115 0 3 2.747422978116762e-10 7.407407407408592e-10 0.0149993665794754 0.006511060521006584 0.0002510587313264703 2313 2215 266.83386084461563 -28.384760527967817 96 2.308677179298092e-05 1.5152344244963598e-05 9.804049291026606e-06 6.434608146358144e-06 94.09025348561411 7.94262018702497e-06 266.83385936465186 -28.38476006362654 2313.4687329476246 2215.167162078486 72.39894101189161 6153.909985789501 0.0 3.765869122 0 0 "" "" ""
118 0 4 3.8320660061882464e-10 1.0956790123458543e-09 0.07678663226602163 0.02304016798734665 0.0002510587313264703 2276 2220 266.83397766741876 -28.384746639198735 142 2.8063673565867685e-05 1.73862521330086e-05 1.1917544877829016e-05 7.383261480934138e-06 166.0553263948176 9.380317161150731e-06 266.8339685131566 -28.384745526183583 2278.899329602219 2220.4006833765525 41.36775067649667 3516.2588083247533 0.0 5.439355111 1 2 7 HII? ""
130 0 5 3.8802273316230804e-11 1.2345679012347653e-10 0.018595433212104915 0.04304482042789459 0.0002510587313264703 2247 2227 266.8340692312153 -28.384727194778566 16 1.556658989728006e-05 3.1738120067402794e-06 6.610522077951595e-06 1.3477938636701923e-06 -177.45643597844688 2.984898841220501e-06 266.83406747582995 -28.384728410529505 2247.555964132761 2226.5623297044845 23.56475546662097 2003.0042149993844 0.0 2.608333374 0 0 "" "" ""
131 0 6 2.3214398328044446e-11 6.944444444445554e-11 0.010282495304363008 0.04196074232459068 0.0002510587313264703 2257 2227 266.83403765749756 -28.384727194777124 9 1.0743299152790009e-05 2.7512957380610328e-06 4.56225908874018e-06 1.1683677246873752e-06 -172.34910734253074 2.3087650965279385e-06 266.8340376551587 -28.384726274060895 2257.000740830527 2227.3314578441727 23.72494838027521 2016.6206130194305 0.0 3.042261848 0 0 "" "" ""
133 0 7 1.9456508921837952e-10 6.095679012346653e-10 0.05169858210333332 0.030505303293466568 0.0002510587313264703 2241 2238 266.8340881754378 -28.384696639220387 79 2.0749348722361128e-05 1.1939275129846498e-05 8.811437105839831e-06 5.0701433237076e-06 163.7677634687324 6.6839545939842555e-06 266.8340901513001 -28.384697774866353 2240.3742065654737 2237.5911673015667 15.70461805272186 1334.8925345170828 0.0 3.849826311 1 2 10 HII? ""
135 0 8 4.2384070294493013e-11 1.2345679012347653e-10 0.03630247589667918 0.08734240382909775 0.0002510587313264703 2266 2240 266.8340092411688 -28.384691083658463 16 8.729975523530186e-06 6.181688937188438e-06 3.7072792640575e-06 2.6251215884767076e-06 45.41470534925995 3.1196247900331513e-06 266.83400807959674 -28.38468941193275 2266.3678924621763 2240.6018210941497 18.87415350154113 1604.3030479301617 0.0 6.201614855 0 1 "" "" ""
138 0 9 2.5304525648755284e-10 7.638888888890111e-10 0.021404702460750102 0.009324521757662296 0.0002510587313264703 2305 2246 266.8338861037388 -28.38467441689105 99 2.291877607215056e-05 1.4058024362137035e-05 9.732708076998444e-06 5.969893279871528e-06 148.022321147592 7.62254737891634e-06 266.8338835986452 -28.384673807952478 2305.7934117567393 2246.2192167315675 55.92136548386412 4753.31606629095 0.0 7.503457949 0 0 11 "" ""
139 0 10 7.869341311591521e-10 2.0370370370373628e-09 0.012150662874371337 0.0024960776790976524 0.0002510587313264703 2198 2246 266.8342239423506 -28.384674416902726 264 3.992597629657221e-05 2.5095759854309308e-05 1.6955001033230745e-05 1.0657187969528888e-05 80.16517907738772 1.3442195990041827e-05 266.83422178951804 -28.38465493470628 2198.681834144267 2253.0135916398012 51.40657430103642 4369.558816290447 0.0 1.720861405 0 1 12 "" ""
140 0 11 6.467038277648114e-12 2.314814814815185e-11 0.006559096205451159 0.07947240024805069 0.0002510587313264703 2268 2245 266.83400292643483 -28.384677194767107 3 3.771125681982856e-06 2.1834936704153253e-06 1.6014496266670315e-06 9.272443875373192e-07 45.03258256185006 1.2185791637192637e-06 266.8340018781783 -28.384678119079073 2268.332002881424 2244.667247531151 19.091898243458072 1622.8113517842307 0.0 0.0 0 1 "" "" ""
141 0 12 1.6766544592727875e-10 5.015432098766235e-10 0.056241861244654565 0.035348840057849884 0.0002510587313264703 2244 2251 266.83407870331877 -28.38466052811091 65 1.5839792780444792e-05 1.3477569652927815e-05 6.726540660238269e-06 5.723396860565912e-06 142.50801765743063 6.204728978551494e-06 266.8340790793321 -28.38465723597621 2243.880909111761 2252.185168472618 6.497556044564273 552.2922643895679 0.0 2.427836161 0 1 "" "" ""
142 0 13 2.720671604396381e-10 8.024691358025974e-10 0.022898135141380786 0.010039080865681171 0.0002510587313264703 2318 2254 266.83384505797113 -28.38465219461065 104 2.3612572756486228e-05 1.4670682801346866e-05 1.0027336401485358e-05 6.230065364147199e-06 160.19955619665777 7.903857362677185e-06 266.8338509185598 -28.384652804735083 2316.143837844549 2253.780358466605 66.25178031526428 5631.401326701321 0.0 4.829662648 0 0 "" "" ""
143 0 14 1.987726530152474e-11 6.172839506173827e-11 0.015115528181262185 0.068942591547966 0.0002510587313264703 2267 2251 266.83400608381356 -28.384660528101705 8 5.652835983033232e-06 4.477213061560924e-06 2.400538416921339e-06 1.9012973288589788e-06 135.06669899936838 2.13638416019121e-06 266.83400568792297 -28.384660175210687 2267.1253862575663 2251.1270407131915 17.16243208988846 1458.8067282214333 0.0 2.658580154 0 0 "" "" ""
145 0 15 2.609871360597828e-10 8.101851851853147e-10 0.25006145700026056 0.11021625995635986 0.0002510587313264703 2267 2258 266.8340060838234 -28.384641083657268 105 2.5651547168726173e-05 1.295457141326032e-05 1.0893209110757776e-05 5.501299957334981e-06 165.32063088616366 7.74124090932796e-06 266.83401004087483 -28.38464003639925 2265.7467253076566 2258.3770134181477 17.83630319664416 1516.085772290597 0.0 8.578434976 0 2 "" "" ""
148 0 16 1.361469516118491e-10 3.9351851851858143e-10 0.052206277882814595 0.040804773569107056 0.0002510587313264703 2242 2262 266.83408501805104 -28.384629972554343 51 2.1482372602514122e-05 8.069436142909093e-06 9.122723686612655e-06 3.4267740161023797e-06 169.83111148952082 5.591199556925683e-06 266.8340855407756 -28.384630014978672 2241.8344429872627 2261.984727203143 14.502069075205005 1232.6758712349247 0.0 2.870649008 0 1 "" "" ""
152 0 17 2.0034531101702283e-10 7.870370370371629e-10 0.15334615924992312 0.11882220208644867 0.0002510587313264703 2274 2270 266.83398398226274 -28.38460775031349 102 2.263273900285114e-05 1.1270925511808483e-05 9.611239317675198e-06 4.786321373300672e-06 174.5646752084216 6.78251282122611e-06 266.83398690744036 -28.384606083093313 2273.073539648747 2270.6001998339466 30.93148016375611 2629.1758142762187 0.0 4.350847369 1 2 16 HII? ""
153 0 18 4.0732408923920276e-11 1.2345679012347653e-10 0.01628544042934048 0.03810447081923485 0.0002510587313264703 2242 2269 266.83408501804644 -28.38461052810989 16 1.1258474631212872e-05 4.6065740200481185e-06 4.781033971139354e-06 1.956231869933643e-06 -153.4239347292721 3.058236587574318e-06 266.8340834410887 -28.384609147458814 2242.4994531062134 2269.497034492288 20.890010954984277 1775.6509309697442 0.0 4.271143456 0 1 "" "" ""
154 0 19 1.5325935514302508e-10 3.626543209877123e-10 0.047908702718812445 0.03853609412908554 0.0002510587313264703 2254 2273 266.8340471296281 -28.38459941700053 47 2.671041140923127e-05 7.305735233632667e-06 1.1342867352260973e-05 3.1024601005282543e-06 160.9573136440701 5.932182851697529e-06 266.8340512129598 -28.384600489257824 2252.706729203654 2272.6139874891446 22.775399297072774 1935.9089402288905 0.0 4.286299859 0 1 "" "" ""
158 0 20 1.2903590662178024e-10 3.780864197531469e-10 0.045582199728779235 0.03574010729789734 0.0002510587313264703 2256 2282 266.83404081489664 -28.38457441699982 49 2.0299685653178013e-05 8.093544840591084e-06 8.620482782119011e-06 3.437012037361314e-06 -173.9902945996098 5.443225430754177e-06 266.83403926262025 -28.384573963732574 2256.4916363446287 2282.163176119136 32.81175460869885 2788.9991422472935 0.0 5.671093273 0 0 "" "" ""
159 0 21 1.0884097430916531e-10 3.240740740741259e-10 0.02606911113190451 0.024791289120912552 0.0002510587313264703 2314 2283 266.8338576876028 -28.3845716390743 42 1.2642112799360285e-05 1.0962011975264155e-05 5.368611001098442e-06 4.655137872805088e-06 56.516537685121364 4.9991623693946366e-06 266.8338550550906 -28.38457038416862 2314.8337689265722 2283.451764631971 72.95504197940637 6201.1785695339395 0.0 5.385889759 0 1 "" "" ""
160 0 22 2.19819314454289e-10 7.407407407408592e-10 0.0792030672759121 0.0481642484664917 0.0002510587313264703 2201 2285 266.8342144700819 -28.384566083580424 96 2.0822257295209144e-05 1.344174192381913e-05 8.842398526013684e-06 5.708182224872502e-06 -153.9337342866294 7.104507167385372e-06 266.83421464721 -28.38456467707421 2200.9438994200327 2285.506342165999 60.55742182524659 5147.380855247366 0.0 9.858914047 0 2 17 HII ""
163 0 23 8.680399035207994e-11 2.5462962962967034e-10 0.029351893494538938 0.03455217927694321 0.0002510587313264703 2272 2288 266.83399029703196 -28.384557750316823 33 1.315708089804538e-05 8.400355340526342e-06 5.587297817431504e-06 3.5673024604374546e-06 175.53956417521442 4.464479953065108e-06 266.8339946006911 -28.384555679533978 2270.6369471027465 2288.745482585179 43.898701649137394 3731.389641040955 0.0 2.730348334 0 0 "" "" ""
165 0 24 1.1525378997595062e-10 3.5493827160499505e-10 0.03136181250259854 0.032504528760910034 0.0002510587313264703 2210 2295 266.83418605374607 -28.384538305831782 46 1.776946110792543e-05 8.258448611195388e-06 7.5459953491655825e-06 3.507040221023279e-06 -171.63575332329697 5.144327866415427e-06 266.8341886278795 -28.384538906918873 2209.1847215071252 2294.78360778285 60.59256129673907 5150.3677098473645 0.0 8.240890652 1 2 17 HII ""
167 0 25 8.346624733076794e-11 2.391975308642358e-10 0.01951350022339477 0.02452380768954754 0.0002510587313264703 2257 2305 266.83403765754275 -28.384510528110436 31 1.4190749850138082e-05 7.488986639433735e-06 6.026256605078106e-06 3.180279807468391e-06 -170.30764191432323 4.377805637046135e-06 266.83403703949426 -28.384512451593768 2257.1957480352885 2304.30754596602 54.78218997665869 4656.48614821764 0.0 3.093103245 0 0 "" "" ""
168 0 26 6.833580450438603e-11 1.9290123456793208e-10 0.01254337836851245 0.019435718655586243 0.0002510587313264703 2275 2305 266.8339808249669 -28.384510528089486 25 1.5030938429387214e-05 5.7886824781352774e-06 6.383051843432759e-06 2.4582271118127825e-06 178.18551454350472 3.961185567179726e-06 266.83397996458444 -28.384511856386432 2275.272499814921 2304.5218129140967 60.09432028349223 5108.017224572168 0.0 2.694110372 0 0 "" "" ""
1950 1 27 3.7160323784436885e-11 1.0802469135804197e-10 0.0032027276269981286 0.00851563923060894 0.0002510587313264703 2241 2110 266.83408817553305 -28.385052194775945 14 7.705820280770795e-06 6.140137912578838e-06 3.2723605767800897e-06 2.607476492964089e-06 144.72696557587338 2.9210620124291252e-06 266.83408705444106 -28.385051409928295 2241.355070122689 2110.28254523625 139.98464908069087 11898.695171812284 0.0 5.559345879 0 0 "" "" ""
