# %ECSV 1.0
# ---
# datatype:
# - {name: _idx, datatype: int64}
# - {name: c_ID, datatype: int64}
# - {name: _name, datatype: int64}
# - {name: area_ellipse, unit: deg2, datatype: float64}
# - {name: area_exact, unit: deg2, datatype: float64}
# - {name: flux, unit: Jy, datatype: float64}
# - {name: peak, unit: Jy / beam, datatype: float64}
# - {name: ring_std, unit: Jy / beam, datatype: float64}
# - {name: x_peak_px, datatype: int64}
# - {name: y_peak_px, datatype: int64}
# - {name: x_peak, datatype: float64}
# - {name: y_peak, datatype: float64}
# - {name: npix, datatype: int64}
# - {name: major_fwhm, unit: deg, datatype: float64}
# - {name: minor_fwhm, unit: deg, datatype: float64}
# - {name: major_sigma, unit: deg, datatype: float64}
# - {name: minor_sigma, unit: deg, datatype: float64}
# - {name: position_angle, unit: deg, datatype: float64}
# - {name: radius, datatype: float64}
# - {name: x_cen, datatype: float64}
# - {name: y_cen, datatype: float64}
# - {name: x_cen_px, datatype: float64}
# - {name: y_cen_px, datatype: float64}
# - {name: radial_d_px, datatype: float64}
# - {name: radial_d_AU, unit: AU, datatype: float64}
# - {name: rejected, datatype: float64}
# - {name: 100.0GHz_snr, datatype: float64}
# - {name: core_score, datatype: int64}
# - {name: detection_score, datatype: int64}
# - {name: G2018, datatype: string}
# - {name: notes, datatype: string}
# - {name: Schmiedeke16, datatype: string}
# schema: astropy-2.0
_idx c_ID _name area_ellipse area_exact flux peak ring_std x_peak_px y_peak_px x_peak y_peak npix major_fwhm minor_fwhm major_sigma minor_sigma position_angle radius x_cen y_cen x_cen_px y_cen_px radial_d_px radial_d_AU rejected 100.0GHz_snr core_score detection_score G2018 notes Schmiedeke16
832 0 1 4.915461574865273e-10 1.6750000000000003e-09 0.0007104658881793406 0.0004317822167649865 3.1543457265984666e-05 3102 2978 266.8328517674912 -28.372305561713983 67 3.1828023777250155e-05 1.966401261008237e-05 1.3516117227051988e-05 8.350537295440733e-06 61.91216535824717 1.0623880693703531e-05 266.83285274358803 -28.37230569176773 3101.828230671212 2977.9739894882864 98.64387460822854 15092.512814825137 0.0 4.76538689 2 2 "" "" ""
872 0 2 4.5684802424018267e-10 1.7500000000000004e-09 0.001973087287457345 0.0014818403869867325 3.1543457265984666e-05 3056 2996 266.83311316718084 -28.37221556178985 70 2.5601720081692263e-05 2.2720616877787583e-05 1.0872049495126402e-05 9.64855761514845e-06 101.36803109439514 1.0242050378145614e-05 266.83311203506736 -28.372215489207306 3056.1992245906067 2996.0145166578395 77.61094112481716 11874.473992391419 0.0 17.55434486 2 2 "" "" ""
894 0 3 2.806324485564571e-10 9.000000000000002e-10 0.0012259516832688025 0.001137109356932342 3.1543457265984666e-05 3064 3006 266.833067706369 -28.372165561812476 36 2.0987737976015865e-05 1.7025103641596472e-05 8.91267170088151e-06 7.229895837485413e-06 60.37892023824573 8.027308890971947e-06 266.8330695940365 -28.372166475818524 3063.667816073414 3005.8171986632456 66.70523578975462 10205.901076561639 0.0 4.508262042 2 2 "" "" ""
912 0 4 6.343700769454379e-10 1.9250000000000003e-09 0.007204871916909573 0.0033853917848318815 3.1543457265984666e-05 3082 3025 266.83296541968963 -28.372070561808233 77 4.8981179656750045e-05 1.6490391303788e-05 2.080039184315092e-05 7.002824414793559e-06 -166.8404712581909 1.2069030277387247e-05 266.8329513550558 -28.372070446332998 3084.4750389024566 3025.0230937346096 48.6051058828706 7436.581200359575 0.0 6.092436043 1 2 "" filament ""
915 0 5 1.400812107281838e-10 4.250000000000001e-10 0.002985430752979789 0.004618840292096138 3.1543457265984666e-05 3103 3024 266.8328460852695 -28.372075561706794 17 1.5130923988551615e-05 1.1787778037700788e-05 6.425511800988915e-06 5.005808432187803e-06 74.46520111417149 5.671409097791531e-06 266.83284380769044 -28.37207119191501 3103.4008006751483 3024.8739577632596 56.629269286645524 8664.278200935993 0.0 3.229304469 1 2 "" HII_new? ""
922 0 6 3.1938256947175435e-10 1.1000000000000001e-09 0.001201995266135273 0.0011117785470560193 3.1543457265984666e-05 3070 3035 266.8330336107767 -28.372020561819536 44 2.7083996803737098e-05 1.5014676138142984e-05 1.1501514462172474e-05 6.37614588419458e-06 146.49423241423438 8.563605204584426e-06 266.83303230953396 -28.37202269122957 3070.22898771699 3034.574118010236 37.46776117168336 5732.567458958979 0.0 5.45268814 2 2 "" "" ""
928 0 7 1.8367575052154078e-10 5.500000000000001e-10 0.008626338831460101 0.010007289238274097 3.1543457265984666e-05 3118 3055 266.83276084678187 -28.3719205615707 22 2.5133353592280108e-05 9.305053924147204e-06 1.0673152560135346e-05 3.9514925753169e-06 90.08969795575729 6.49421920607854e-06 266.832761359909 -28.37191808342275 3117.909702847777 3055.4956297864833 48.7862178459862 7464.291330380139 0.0 3.43903921 0 2 "" "" ""
930 0 8 4.60536988938254e-10 1.5750000000000002e-09 0.0006699505362281477 0.0004662028222810477 3.1543457265984666e-05 3045 3060 266.8331756753049 -28.371895561734128 63 2.91184026106676e-05 2.013791405134432e-05 1.236544706340178e-05 8.551784708066577e-06 162.79675446309102 1.02833185842512e-05 266.8331774673872 -28.371895939612287 3044.684635989196 3059.9244239605023 29.86550933314907 4569.422928343515 0.0 2.161688312 2 2 "" "" ""
934 0 9 3.5962397215445337e-10 1.025e-09 0.0009729856902181865 0.0007052500150166452 3.1543457265984666e-05 3089 3061 266.83292564171626 -28.371890561785964 41 2.579095558647778e-05 1.7754102074051756e-05 1.0952410414927825e-05 7.539472968015445e-06 -174.98207276286433 9.087100872003082e-06 266.8329286329155 -28.37189328792722 3088.473619209114 3060.454772161238 20.116471253572715 3077.820101609889 0.0 0.926109687 1 2 "" "" ""
938 0 10 8.647958726035002e-10 2.1250000000000004e-09 0.0010515985323177259 0.0004292975354474038 3.1543457265984666e-05 3036 3073 266.8332268184145 -28.371830561667316 85 4.673264525615355e-05 2.3561924283816567e-05 1.9845527200588842e-05 1.000582797549054e-05 55.71516904983901 1.4091519834709466e-05 266.833229744181 -28.37184294500396 3035.4851382345732 3070.5233317885068 36.544707944585625 5591.340316287015 0.0 3.313979088 0 1 "" multiple? ""
